Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
40 and above,Female,Married,South Africa,Bachelor's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,5,4,4,4,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,3,4,3,4,3,4.35,4.2,High Support
25 - 29 years old,Male,Single,Nepal,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3.9,4.0,Moderate Support
20 - 24 years old,Male,Single,Nepali ,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.1,4.0,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Female,Widow/Widower,Filipino / Philippines,Doctorate Degree,5 years and above,Education,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,1,4,4,4,4,4,4,4,5,4,4,4,3.2,4.1,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3.95,3.9,Moderate Support
30 - 34 years old,Female,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.4,3.0,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
40 and above,Male,Married,Indian / India,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",1,2,3,2,1,4,2,2,2,1,1,3,3,4,4,2,4,3,2,1,1,4,1,5,3,1,2,2,3,2,2.35,2.4,Low Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,4,3,2,2,3,4,3,3,3,3,3,2,4,2,4,4,4,4,4,4,4,2,3,3,3,4,3.05,3.5,Low Support
30 - 34 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
30 - 34 years old,Female,Single,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,2,4,4,4,4,4,4,4,4,4,4,4,5,4,2,2,2,2,2,2,5,4,5,2,2,2,2,2,3.65,2.8,Moderate Support
25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,2,4,2,2,3,4,4.75,3.1,High Support
40 and above,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,4,3,3,3,3,4,3,4,4,4,3,4,4,3,3.35,3.6,Low Support
30 - 34 years old,Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,5.0,High Support
20 - 24 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3.8,3.8,Moderate Support
35 - 39 years old,Female,Separated,Indian / India,Master's Degree,1 - 2 years,Education,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",3,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4.0,Moderate Support
25 - 29 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3.05,3.0,Low Support
25 - 29 years old,Female,Single,Nepal,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,3,3,3,3,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3.4,4.0,Low Support
40 and above,Male,Married,Korean,Bachelor's Degree,3 - 4 years,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4.05,4.3,High Support
20 - 24 years old,Female,Single,Nepali ,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Married,Nepalese ,Master's Degree,1 - 2 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
30 - 34 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,1,1,2,2,1,4,4,2,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3.05,3.4,Low Support
40 and above,Female,Married,Chinese / China,Master's Degree,3 - 4 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Male,Married,Armenia,Master's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.05,3.0,Low Support
40 and above,Female,Married,Bhutanese,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3.95,3.4,Moderate Support
30 - 34 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Male,Single,Nepal,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.55,4.0,Moderate Support
40 and above,Male,Married,Bangladeshi / Bangladesh ,Master's Degree,Less than 1 year,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,3,4,4,3,3,4,4,4,4,3,3,3,2,3,3,2,3,3,4,4,4,4,4,3,2,2,3,3,3.2,3.3,Low Support
25 - 29 years old,Female,Married,Asian,Master's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4.0,High Support
35 - 39 years old,Female,Single,Chinese / China,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2.8,3.2,Low Support
30 - 34 years old,Female,Single,Indian / India,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.85,3.0,Low Support
25 - 29 years old,Female,Married,Nepal,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3.7,3.9,Moderate Support
25 - 29 years old,Female,Single,Nepali,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3.65,3.9,Moderate Support
25 - 29 years old,Female,Married,NEPAL/ NEPALESE ,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,2,2,4,4,4,3,4,5,3,3,4,4,4,3,4,5,4,4,2,3,2,4,4,3,4,2,2,4,3.7,3.0,Moderate Support
35 - 39 years old,Female,Married,Ukrainian ,Master's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Single,Indian / India,Doctorate Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,3,2,2,2,2,2,2,2,4,4,3,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,2.7,3.0,Low Support
25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
30 - 34 years old,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,4,4,3,4,4,4,4,3,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,3.55,3.7,Moderate Support
25 - 29 years old,Female,Single,Indian / India,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.45,3.0,Low Support
30 - 34 years old,Male,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,3,3,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,4,4,4,4,4,4,4,3,3,4,4.6,3.8,High Support
25 - 29 years old,Female,Married,Bhutanese,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
30 - 34 years old,Female,Single,Japanese / Japan,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,3.7,4.1,Moderate Support
30 - 34 years old,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,4,3,4,5,5,5,5,4,4,3,3,4,5,4,5,4,4,5,5,3,4,4,4,4,3,3,4,3,4,4.3,3.6,High Support
