Timestamp,Do you agree to participate in this Research?,Please select your age range.,Gender,Civil Status,Nationality/Country of Origin,Highest Educational Attainment,Length of Stay in New Zealand,Type of Job Industry,Tenure in Current Organization,Role / Position,Monthly Income (NZD),My employer ensures that my contributions in the company are appreciated and recognized.  ,I am highly valued by my supervisors; all my outputs are given high regard and appreciation. ,I am regularly rewarded when I meet work targets and deadlines on time. ,"I am confident that my inputs in the organization are as much appreciated as that of my colleagues, and this is what is encouraging me to keep delivering my best.",My employer is open and respectful of my ideas and guarantees that my inputs are meaningful to the improvement of the organization.,My supervisor is always accessible when I need assistance regarding work or performance. ,"I am heard when I communicate my concerns and suggestions, and they consider my contributions. ",I am motivated to deal with challenging work to improve my organizational skills and be open to various opportunities at work. ,I am encouraged to perform at my best when confronted with challenges in the workplace.,I am encouraged to join a professional development opportunity to expand my potential and organizational skills. ,I am provided with the adequate tools and resources to do my job effectively. ,I feel my workload is reasonable and manageable because of the assurance of quality working conditions. ,My workplace ensures that I work in a healthy environment that is free from toxicity and unnecessary distractions. ,I am encouraged to be independent and exercise autonomy in relation to my work tasks without much supervision. ,I enjoy working in a systematic and highly organized environment where I can work with ease and ensure goal attainment. ,I experience fair treatment in my workplace regardless of my background or my nationality.,I have experienced consistent enforcement of organizational policies on all employees.,I attest that the promotion and reward systems given to all employees are transparent and free of bias.,I witness how the organization promotes diversity and inclusion in the workplace all the time. ,I find that disputes are supposed to be resolved in a fair and impartial manner.,I am happy about how meaningful my work is.,I am capable of efficient application of my skills and knowledge in my work.,I also achieve self-improvement and maturity at work.,I am passionate and inspired in what I do.,I feel accomplished and gratified with my work.,I am satisfied with the compensation and benefits programs of the company. ,I feel secure at the job I hold.,I am offered the chance of promotion and career development.,I am satisfied that the demands of the work environment and time reflect my personal and professional requirements.,I think the organization rewards performance and effort adequately.,Do you meet all of the eligibility criteria to participate in this survey?,Column 42
1/6/2026 13:36:35,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 15:40:57,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Filipino / Philippines,Master's Degree,5 years and above,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 16:55:20,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 18:38:16,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 18:58:32,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 18:59:48,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:28:44,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Chinese / China,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:29:27,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Married,Fijian,Master's Degree,1 - 2 years,Others (please specify),4 years and above,Executive Level (Top level of Leadership),"$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:30:07,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:30:21,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:30:57,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:32:08,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Indian / India,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:32:19,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Bhutan ,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:32:54,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Indian / India,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:33:08,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:33:54,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:35:01,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:40:07,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:40:55,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Indian / India,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:41:19,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Indian / India,Master's Degree,5 years and above,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:41:45,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepalese ,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:42:08,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Nepali,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:42:59,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Nepalese ,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:43:37,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepalese,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:44:25,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly disagree,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:44:37,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepal,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:44:44,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepalese ,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:44:57,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:45:43,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Nepal/ Neplease,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:49:01,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Nepal,Others (please specify),1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:52:48,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 19:52:56,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
